url,title,location,rooms,price,m2,plot_m2
https://www.otodom.pl/oferta/nowy-dom-w-pieknej-okolicy-przyleki-ID46IBV.html#4f9791ef49,Nowy dom w pięknej okolicy-Przyłęki.,"Przyłęki, bydgoski, kujawsko-pomorskie",5 pokoi,498 000 zł,"211,88 m²",działka 605 m²
https://www.otodom.pl/oferta/dom-wolnostojacy-duza-dzialka-ID46uSf.html#4f9791ef49,Dom wolnostojący - duża działka,"Siechnice, wrocławski, dolnośląskie",5 pokoi,1 566 000 zł,"358,40 m²",działka 1 996 m²
https://www.otodom.pl/oferta/nowe-domy-w-stanie-deweloperskim-od-449-000-zl-ID45uHI.html#4f9791ef49,NOWE DOMY w Stanie Deweloperskim - od 449.000 zł !,"Katowice, Zarzecze",5 pokoi,449 000 zł,136 m²,działka 300 m²
https://www.otodom.pl/oferta/nowy-dom-102m2-pociekarb-ID456XB.html#4f9791ef49,Nowy dom 102m2 Pociękarb,"Pociękarb, kędzierzyńsko-kozielski, opolskie",5 pokoi,469 000 zł,102 m²,działka 1 000 m²
https://www.otodom.pl/oferta/atrakcyjne-segmenty-114-m2-domaniew-ID452uc.html#4f9791ef49,Atrakcyjne segmenty 114 m2 Domaniew,"Domaniew, pruszkowski, mazowieckie",4 pokoje,529 000 zł,114 m²,działka 300 m²
https://www.otodom.pl/oferta/blizniak-ujazd-brzezie-gm-zabierzow-duzy-ogrodek-ID46108.html#4f9791ef49,Bliźniak Ujazd/Brzezie Gm. Zabierzów DUŻY OGRÓDEK,"Ujazd, krakowski, małopolskie",4 pokoje,550 000 zł,103 m²,działka 423 m²
https://www.otodom.pl/oferta/dom-z-ogrodkem-w-cenie-kawalerki-1km-od-ursynowa-ID4597S.html#996088d890,DOM Z OGRODKEM W cenie kawalerki 1km od Ursynowa!,"Warszawa, Ursynów",4 pokoje,480 000 zł,103 m²,działka 123 m²
https://www.otodom.pl/oferta/unikatowy-przestronny-dom-w-cichej-okolicy-ID46Jm8.html#996088d890,"Unikatowy, przestronny dom w cichej okolicy","Krosno Odrzańskie, krośnieński, lubuskie",10 pokoi,420 000 zł,420 m²,działka 4 500 m²
https://www.otodom.pl/oferta/gotowe-domy-jednorodzinne-w-rabieniu-ab-ID41Nu1.html#996088d890,Gotowe domy jednorodzinne w Rąbieniu AB,"Rąbień AB, zgierski, łódzkie",5 pokoi,659 000 zł,150 m²,działka 400 m²
https://www.otodom.pl/oferta/dom-116-m-robakowo-ID43j3J.html#996088d890,"Dom, 116 m², Robakowo","Robakowo, poznański, wielkopolskie",4 pokoje,385 000 zł,116 m²,działka 395 m²
https://www.otodom.pl/oferta/villa-fotografa-nastepcy-tronu-ID46o8k.html#996088d890,Villa fotografa następcy tronu,"Olsztyn, Centrum",10 pokoi,2 318 609 zł,232 m²,działka 172 m²
https://www.otodom.pl/oferta/nowoczesny-dom-wola-justowska-ul-jesionowa-ID46aFC.html#996088d890,"Nowoczesny dom Wola Justowska, ul. Jesionowa.","Kraków, Zwierzyniec, Wola Justowska",>10 pokoi,2 500 000 zł,373 m²,działka 520 m²
https://www.otodom.pl/oferta/dom-103-m-kamionki-ID44Xze.html#996088d890,"Dom, 103 m², Kamionki","Kamionki, poznański, wielkopolskie",4 pokoje,450 000 zł,103 m²,działka 707 m²
https://www.otodom.pl/oferta/dom-w-malowniczej-miejscowosci-glojsce-ID46rkv.html#996088d890,Dom w malowniczej miejscowości Głojsce,"Głojsce, krośnieński, podkarpackie",3 pokoje,270 000 zł,90 m²,działka 10 m²
https://www.otodom.pl/oferta/dom-95-m-poznan-ID45ynE.html#996088d890,"Dom, 95 m², Poznań","Poznań, Grunwald",4 pokoje,599 000 zł,95 m²,działka 402 m²
https://www.otodom.pl/oferta/dom-z-duza-dzialka-na-granicy-szamotuly-kepa-ID46107.html#996088d890,Dom z dużą działką na granicy Szamotuły/Kepa,"Szamotuły, szamotulski, wielkopolskie",4 pokoje,379 000 zł,"99,11 m²","działka 635,50 m²"
