url,title,location,rooms,price,m2,plot_m2
https://www.otodom.pl/oferta/dom-na-wsi-ID4627X.html#2536bcf1f3,Dom na wsi,"Kajnity, braniewski, warmińsko-mazurskie",5 pokoi,100 000 zł,120 m²,działka 900 m²
https://www.otodom.pl/oferta/dom-glinki-pod-dzial-gospodarcza-ID44tad.html#2536bcf1f3,Dom Glinki pod dział. gospodarczą,"Bydgoszcz, Górny Taras, Glinki",3 pokoje,550 000 zł,80 m²,działka 552 m²
https://www.otodom.pl/oferta/piekny-i-gotowy-dom-pod-warszawa-jozefow-skm-ID46JmP.html#2536bcf1f3,Piękny i gotowy dom pod Warszawą Józefów SKM,"Józefów, otwocki, mazowieckie",4 pokoje,950 000 zł,220 m²,działka 312 m²
https://www.otodom.pl/oferta/dom-dla-rodziny-pod-wynajem-letni-blisko-morza-ID46vQ1.html#2536bcf1f3,Dom dla rodziny/ pod wynajem letni - blisko morza,"Mosty, pucki, pomorskie",6 pokoi,780 000 zł,"219,80 m²",działka 776 m²
https://www.otodom.pl/oferta/dom-jozefoslaw-262m2-las-kabacki-wysoki-standard-ID46JmN.html#2536bcf1f3,Dom Józefosław 262m2 Las Kabacki wysoki standard,"Józefosław, piaseczyński, mazowieckie",5 pokoi,1 498 000 zł,262 m²,działka 507 m²
https://www.otodom.pl/oferta/dom-na-mazurach-ID46yZ8.html#2536bcf1f3,Dom na Mazurach,"Leśniewo, kętrzyński, warmińsko-mazurskie",10 pokoi,700 000 zł,"163,68 m²","działka 1,10 m²"
https://www.otodom.pl/oferta/dom-biura-550m2-dzialka-1100m2-jelenia-gora-ID3K2bV.html#2536bcf1f3,Dom + Biura 550m2/Działka 1100m2. Jelenia Góra,"Jelenia Góra, Centrum",>10 pokoi,1 970 000 zł,550 m²,działka 1 100 m²
https://www.otodom.pl/oferta/dom-z-ogrodem-50m2-w-lesnicy-ID45r8W.html#2536bcf1f3,Dom z ogrodem ( 50m2) w Leśnicy,"Wrocław, dolnośląskie",4 pokoje,720 000 zł,109 m²,
https://www.otodom.pl/oferta/niesamowity-dom-nad-jeziorem-ID46Jmq.html#2536bcf1f3,Niesamowity dom nad jeziorem,"Tuchola, tucholski, kujawsko-pomorskie",4 pokoje,449 000 zł,113 m²,działka 1 028 m²
https://www.otodom.pl/oferta/dom-w-zabudowie-szeregowej-zerniki-tyniec-maly-ID46Jmn.html#2536bcf1f3,Dom w zabudowie szeregowej (Żerniki - Tyniec Mały),"Bielany Wrocławskie, wrocławski, dolnośląskie",5 pokoi,750 000 zł,200 m²,działka 470 m²
